cycle,cycle_elapsed_ms
0,211
1,177
2,178
3,177
4,177
5,177
6,178
7,177
8,178
9,177
10,177
11,177
12,177
13,177
14,177
15,177
16,177
17,177
18,177
19,178
20,177
21,177
22,177
23,178
24,177
25,177
26,178
27,178
28,177
29,177
30,177
31,178
32,177
33,177
34,177
35,177
36,177
37,177
38,177
39,183
40,177
41,178
42,177
43,177
44,178
45,177
46,177
47,177
48,177
49,177
50,178
51,177
52,178
53,177
54,177
55,178
56,177
57,177
58,177
59,177
60,177
61,177
62,178
63,177
64,177
65,177
66,177
67,177
68,177
69,177
70,177
71,178
72,177
73,177
74,177
75,177
76,174
77,173
78,173
79,173
80,173
81,172
82,173
83,174
84,173
85,173
86,172
87,177
88,175
89,174
90,173
91,175
92,177
93,204
94,206
95,181
96,195
97,198
98,195
99,198
